Date,"Binance Coin",Bitcoin,Cardano,Dogecoin,Ethereum,Polkadot,Solana,Tether,"USD Coin",XRP
"2020-11-22 00:00",30.29842054,18451.0914791,0.14366527,0.00334777,550.73038009,5.5297909,2.18651463,1.00088517,0.99912235,0.44839451
"2020-11-23 00:00",30.65465327,18508.75006816,0.15481531,0.00341517,589.45215723,5.71505554,2.28402879,1.00344966,1.00076925,0.52068392
"2020-11-24 00:00",33.48347941,18989.35195202,0.16836584,0.0039156,609.20673238,5.84131683,2.25462419,1.00223109,0.99978015,0.66749672
"2020-11-25 00:00",33.2693547,19039.60968966,0.16561804,0.00400457,591.02466496,5.56656955,2.21549699,1.00059874,0.99924492,0.66610851
"2020-11-26 00:00",28.9117622,17403.88646655,0.13846664,0.00334006,522.62988741,4.8780202,1.87251955,1.00205887,0.99959203,0.54498098
"2020-11-27 00:00",28.26533935,17066.81253881,0.13947061,0.00324968,517.46512598,4.81125485,1.87311361,1.00100545,0.99947965,0.54609037
"2020-11-28 00:00",28.9661753,17363.90015514,0.16252046,0.0033649,527.57136805,4.80535598,1.95601668,1.0012018,0.99935358,0.59212206
"2020-11-29 00:00",29.86415337,18063.16813265,0.16644888,0.00344369,553.77880522,5.00030894,1.94660887,1.00101168,0.99878802,0.61601725
"2020-11-30 00:00",30.70961182,19043.76199027,0.16858022,0.0035273,594.85887612,5.27736476,1.94213856,1.00093076,0.99981065,0.63622612
"2020-12-01 00:00",30.8705245,19238.80356637,0.15926443,0.00345484,601.78235134,5.25565877,1.99738305,0.99965644,0.99865543,0.64104038
"2020-12-02 00:00",30.36621305,18940.25269954,0.15730412,0.00337708,592.47364807,5.2183668,2.09609136,0.99908943,0.99869378,0.61628426
"2020-12-03 00:00",30.47852623,19278.73095953,0.16371114,0.00342069,606.82024924,5.44099505,2.05588307,1.00071908,0.99951893,0.62687786
"2020-12-04 00:00",29.99779692,19124.99963946,0.15462201,0.0033845,596.04232833,5.24466849,1.93901219,1.00224939,1.0009298,0.59039044
"2020-12-05 00:00",29.70991897,19078.08849414,0.15990471,0.00337478,589.20804721,5.09298615,1.974868,1.00353829,1.00125933,0.58309021
