Date,"Binance Coin",Bitcoin,Cardano,Dogecoin,Ethereum,Tether,"USD Coin",XRP
"2018-12-22 00:00",5.77844274,3913.19676135,0.0412822,0.00242547,117.47073637,1.00374158,0.99787845,0.36113009
"2018-12-24 00:00",5.9751988,3996.2185231,0.04392763,0.00249549,137.11625728,1.007633,1.01091005,0.39661401
"2018-12-26 00:00",5.57373546,3783.93833554,0.04051972,0.00240427,127.32110755,1.00735325,1.01091271,0.36988422
"2018-12-28 00:00",5.64140238,3747.29491074,0.0397321,0.0023316,129.3226305,1.01209775,0.9886684,0.36105783
"2018-12-30 00:00",5.97757576,3798.31791309,0.04204013,0.0023422,136.00811957,1.00602911,1.01031191,0.36235009
"2019-01-01 00:00",6.01133765,3738.67668715,0.04116459,0.00231548,134.89888347,0.99857921,1.01086557,0.35520013
"2019-01-02 00:00",5.95297333,3828.03868677,0.0431045,0.00232573,147.99742785,1.0071362,1.001684,0.36310507
"2019-01-04 00:00",5.96952199,3795.19566306,0.04326403,0.00223632,153.51062567,1.0069046,0.99868519,0.35522745
"2019-01-06 00:00",6.16691949,3935.25806815,0.04782386,0.00227637,153.47730679,1.00872449,0.98534286,0.36018611
"2019-01-08 00:00",6.56921595,4001.45284571,0.04896769,0.00220874,149.69575163,1.00833946,0.99591776,0.36378227
"2019-01-10 00:00",6.28394147,3834.8649485,0.04756281,0.00222461,135.2406393,1.01042918,1.03147878,0.34924638
"2019-01-12 00:00",5.94194505,3638.74360871,0.04320786,0.00210016,124.91914245,1.00989377,1.00926944,0.32984229
"2019-01-14 00:00",5.86416403,3609.01360548,0.04240757,0.00212761,123.62358143,1.0094544,0.99892292,0.32633913
"2019-01-16 00:00",6.07474005,3608.86285555,0.04435131,0.00205531,121.5975069,1.00363927,1.0021607,0.32621669
"2019-01-18 00:00",6.40545414,3627.90893694,0.04442891,0.00202072,121.34194304,1.00423483,0.99416989,0.32408069
"2019-01-20 00:00",6.54964669,3609.79557996,0.04368708,0.00211833,119.58652041,1.00156563,1.01065452,0.32133295
"2019-01-22 00:00",6.43833924,3556.2309103,0.04288362,0.0019998,116.8266293,0.99962496,0.99283809,0.31669369
"2019-01-24 00:00",6.48088623,3544.5877822,0.04233883,0.00201176,115.32509297,0.99946341,0.99624484,0.31354473
"2019-01-26 00:00",6.84402763,3562.04953134,0.04190593,0.00201888,114.65406723,0.9973733,0.9978209,0.31087561
"2019-01-28 00:00",6.45477772,3463.36633538,0.03872043,0.0019158,106.63484879,0.99565725,1.0127323,0.29360572
"2019-01-30 00:00",6.01053699,3408.26722384,0.03834762,0.00188373,106.21120478,0.99367652,0.99215095,0.30885389
"2019-02-01 00:00",6.46052855,3407.42172909,0.03788605,0.00187872,105.5218816,0.98962868,1.0005502,0.30262508
"2019-02-03 00:00",6.7171976,3414.15475664,0.03778625,0.00184467,106.92655082,0.98749104,0.99547442,0.29964649
"2019-02-05 00:00",7.52115876,3416.35440254,0.03718188,0.00185354,105.16755755,0.98724634,1.01187674,0.29383398
"2019-02-07 00:00",7.94512619,3352.16659382,0.03669606,0.00182358,105.18888539,0.98867777,0.97960387,0.29116404
"2019-02-09 00:00",8.61451917,3539.64793386,0.03981606,0.00187652,115.469947,0.98964389,0.99000751,0.3005913
