Date,crypto,cryptocurrency,bitcoin,BTC,ethereum,ETH,binance,BNB,cardano,ADA,tether,USDT,XRP,solana,SOL,polkadot,DOT,USDC,doge,dogecoin,v(Binance Coin),v(Bitcoin),v(Cardano),v(Dogecoin),v(Ethereum),v(Polkadot),v(Solana),v(Tether),v(USD Coin),v(XRP)
2017-09-12,4.7142857142857135,16.857142857142854,20.0,3.7142857142857144,11.714285714285715,18.0,0.5,37.71428571428571,2.0,34.0,29.857142857142854,2.0,2.7142857142857144,7.0,71.71428571428572,6.0,64.42857142857142,6.571428571428571,6.0,1.0,1.0932199,4230.12412732,0.0,0.00150303,299.65936927,0.0,0.0,1.00143178,0.0,0.21630447
2017-09-13,4.57142857142857,16.28571428571428,19.0,3.5714285714285716,11.571428571428573,18.0,0.5,37.57142857142856,2.0,34.0,29.28571428571428,2.0,2.5714285714285716,7.0,71.57142857142858,6.0,64.14285714285712,6.857142857142857,6.0,1.0,0.87978216,3800.48180898,0.0,0.00129187,265.60339847,0.0,0.0,1.00516052,0.0,0.19559428
2017-09-14,4.428571428571427,15.71428571428571,18.0,3.428571428571429,11.42857142857143,18.0,0.5,37.428571428571416,2.0,34.0,28.714285714285708,2.0,2.428571428571429,7.0,71.42857142857144,6.0,63.85714285714284,7.142857142857142,6.0,1.0,0.81925894,3648.24047664,0.0,0.0010701250000000001,252.91070659500002,0.0,0.0,1.004246975,0.0,0.186208695
2017-09-15,4.285714285714284,15.142857142857139,17.0,3.285714285714286,11.285714285714288,18.0,0.5,37.28571428571427,2.0,34.0,28.142857142857135,2.0,2.285714285714286,7.0,71.2857142857143,6.0,63.571428571428555,7.428571428571428,6.0,1.0,0.75873572,3495.9991443,0.0,0.00084838,240.21801472,0.0,0.0,1.00333343,0.0,0.17682311
2017-09-16,4.142857142857141,14.571428571428568,16.0,3.1428571428571432,11.142857142857146,18.0,0.5,37.142857142857125,2.0,34.0,27.571428571428562,2.0,2.1428571428571432,7.0,71.14285714285717,6.0,63.28571428571427,7.7142857142857135,6.0,1.0,0.78777224,3609.86043777,0.0,0.0008536850000000001,251.884626455,0.0,0.0,1.00306571,0.0,0.179030215
2017-09-17,4.0,14.0,15.0,3.0,11.0,18.0,0.5,37.0,2.0,34.0,27.0,2.0,2.0,7.0,71.0,6.0,63.0,8.0,6.0,1.0,0.81680876,3723.72173124,0.0,0.00085899,263.55123819,0.0,0.0,1.00279799,0.0,0.18123732
2017-09-18,4.0,14.0,14.714285714285714,2.857142857142857,10.714285714285714,17.571428571428573,0.5,36.714285714285715,2.0,34.285714285714285,26.571428571428573,2.0,2.0,7.142857142857143,70.85714285714286,5.857142857142857,63.0,8.714285714285714,6.0,0.9285714285714286,0.81788314,3848.9108118249997,0.0,0.00086206,275.400837405,0.0,0.0,1.002964945,0.0,0.18368753
2017-09-19,4.0,14.0,14.428571428571427,2.7142857142857144,10.428571428571427,17.142857142857146,0.5,36.42857142857143,2.0,34.57142857142857,26.142857142857146,2.0,2.0,7.2857142857142865,70.71428571428572,5.7142857142857135,63.0,9.428571428571427,6.0,0.8571428571428572,0.81895752,3974.09989241,0.0,0.00086513,287.25043662,0.0,0.0,1.0031319,0.0,0.18613774
2017-09-20,4.0,14.0,14.14285714285714,2.5714285714285716,10.14285714285714,16.71428571428572,0.5,36.142857142857146,2.0,34.857142857142854,25.71428571428572,2.0,2.0,7.42857142857143,70.57142857142858,5.57142857142857,63.0,10.14285714285714,6.0,0.7857142857142858,0.77232305,3851.88948472,0.0,0.0008223950000000001,278.12781800000005,0.0,0.0,1.0033594250000002,0.0,0.1809935
2017-09-21,4.0,14.0,13.857142857142854,2.428571428571429,9.857142857142854,16.285714285714292,0.5,35.85714285714286,2.0,35.14285714285714,25.285714285714292,2.0,2.0,7.571428571428573,70.42857142857144,5.428571428571427,63.0,10.857142857142854,6.0,0.7142857142857144,0.72568858,3729.67907703,0.0,0.00077966,269.00519938,0.0,0.0,1.00358695,0.0,0.17584926
